step,ego_vid,cri_left,cri_right,alert_left,alert_right,scenario_type,top_threat,top_cri
380,bsd_demo_8,0.0,0.5249410216686655,SAFE,CAUTION,normal,bsd_demo_7,0.5249410216686655
381,bsd_demo_7,0.6565723468045259,0.0,CAUTION,SAFE,normal,bsd_demo_8,0.6565723468045259
381,bsd_demo_8,0.0,0.4640989750654758,SAFE,CAUTION,normal,bsd_demo_7,0.4640989750654758
382,bsd_demo_7,0.6465561410169114,0.0,CAUTION,SAFE,normal,bsd_demo_8,0.6465561410169114
382,bsd_demo_8,0.0,0.546741422311186,SAFE,CAUTION,normal,bsd_demo_7,0.546741422311186
383,bsd_demo_7,0.6288347582911582,0.0,WARNING,SAFE,normal,bsd_demo_8,0.6288347582911582
383,bsd_demo_8,0.0,0.6588644115514344,SAFE,CAUTION,normal,bsd_demo_7,0.6588644115514344
384,bsd_demo_7,0.6062215452527654,0.0,WARNING,SAFE,normal,bsd_demo_8,0.6062215452527654
384,bsd_demo_8,0.0,0.727366914872385,SAFE,CAUTION,normal,bsd_demo_7,0.727366914872385
385,bsd_demo_7,0.5968473507345805,0.0,CAUTION,SAFE,normal,bsd_demo_8,0.5968473507345805
385,bsd_demo_8,0.0,0.7307017445339452,SAFE,WARNING,normal,bsd_demo_7,0.7307017445339452
386,bsd_demo_7,0.5193791398691661,0.0,CAUTION,SAFE,normal,bsd_demo_8,0.5193791398691661
386,bsd_demo_8,0.0,0.7448888700770393,SAFE,WARNING,normal,bsd_demo_7,0.7448888700770393
387,bsd_demo_7,0.3992737885407236,0.0,CAUTION,SAFE,normal,bsd_demo_8,0.3992737885407236
387,bsd_demo_8,0.0,0.7332247094389447,SAFE,WARNING,normal,bsd_demo_7,0.7332247094389447
388,bsd_demo_7,0.44645418465795245,0.0,CAUTION,SAFE,normal,bsd_demo_8,0.44645418465795245
388,bsd_demo_8,0.0,0.7084569950695867,SAFE,WARNING,normal,bsd_demo_7,0.7084569950695867
389,bsd_demo_8,0.0,0.5792174502000946,SAFE,CAUTION,normal,bsd_demo_7,0.5792174502000946
390,bsd_demo_8,0.0,0.6216154489864447,SAFE,CAUTION,normal,bsd_demo_7,0.6216154489864447
